customer_id,balance_account,purchases_amount,paid_advance,full_purchases,balance_frequency_update,installments,purchases_frequency,full_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,nr_cash_advances,nr_purchases,credit_limit,fixed_rate_period,payments,min_payments,full_payment_prc
tGEg8fT2eCgVxdwS,9.298409,107.6,0.0,0.0,0.909091,107.6,0.909091,0.0,0.818182,0.0,0,10,1000.0,11,89.868853,89.711672,0.428571
stEDu20sSKOXomjg,52.666422,150.3,0.0,0.0,1.0,150.3,1.0,0.0,0.833333,0.0,0,6,1000.0,6,54.722514000000004,82.95518,0.0
CEB2blrN3b88GsRe,1360.795674,0.0,462.86144299999995,0.0,1.0,0.0,0.0,0.0,0.0,0.272727,6,0,1500.0,11,303.031979,443.781316,0.0
0N0eBl8ySaZThxKE,2021.641161,363.18,0.0,363.18,1.0,0.0,1.0,1.0,0.0,0.0,0,13,2000.0,12,704.24077,795.859808,0.0
6NLauoHUwtwOv4Wy,22.322374,95.0,1162.045833,95.0,0.363636,0.0,0.083333,0.083333,0.0,0.166667,3,1,2500.0,12,4094.2614270000004,40.142262,0.0
3Zx75mmL4wXFf36M,9266.08054,100.0,4383.296268,0.0,1.0,100.0,0.333333,0.0,0.25,0.166667,3,4,17500.0,12,2444.1235469999997,2603.406476,0.0
VIncqsQDzbMSsvL9,97.38932700000001,60.0,0.0,60.0,1.0,0.0,0.083333,0.083333,0.0,0.0,0,1,12500.0,12,453.421982,204.88001,0.0
fDoLh1FTtFMuu3xs,4788.283283,0.0,437.80858600000005,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,2,0,5000.0,12,823.840717,1934.821741,0.0
OpclyuJ9WGTLImw1,319.037744,1262.28,0.0,1262.28,0.818182,0.0,0.25,0.25,0.0,0.0,0,6,10500.0,12,1350.541585,218.81061400000002,0.125
k2GbzBNCo0TQmwaw,1641.2512179999999,0.0,2990.1655379999997,0.0,0.727273,0.0,0.0,0.0,0.0,0.166667,4,0,3000.0,12,4399.723425,500.27615499999996,0.14285699999999998
tKxL5rE73TQL43Vb,179.35720600000002,497.15,0.0,497.15,1.0,0.0,0.416667,0.416667,0.0,0.0,0,6,1200.0,12,291.121154,180.093054,0.0
w5Ld64atScO1TKqb,639.73038,951.05,0.0,785.05,1.0,166.0,0.5,0.5,0.083333,0.0,0,8,2600.0,12,693.3028929999999,227.955037,0.0
JC9XINBsvY4kxyhv,7499.658084000001,160.0,3603.7872020000004,160.0,1.0,0.0,0.166667,0.166667,0.0,0.166667,3,2,13550.0,12,1962.972636,1849.3138969999998,0.0
FhpkNrprbXsmN5BT,303.054817,894.4,0.0,609.4,0.636364,285.0,0.636364,0.363636,0.454545,0.0,0,12,4000.0,11,183.620398,128.25155,0.0
uDs0DVNfG7EDdaTE,3516.835582,4019.73,0.0,1932.75,1.0,2086.98,0.916667,0.916667,1.0,0.0,0,73,12000.0,12,3376.57379,910.942173,0.0
WtRLwDebGjO2TZES,179.882212,828.0,0.0,0.0,1.0,828.0,1.0,0.0,1.0,0.0,0,12,1000.0,12,649.951462,152.775223,0.3
ehzMf38keulF4fSJ,2739.711796,847.66,1201.188255,765.8,1.0,81.86,1.0,1.0,0.583333,0.083333,1,20,7500.0,12,3273.326636,718.558976,0.0
H8Hm7TvThVB3dbSi,1361.815512,1309.72,814.086208,1106.81,1.0,202.91,0.916667,0.75,0.916667,0.75,9,53,1700.0,12,1668.192483,585.993296,0.0
ZgZDmu1CQM3jqFB5,1630.620638,0.0,381.541722,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,2,0,2100.0,12,1117.714796,459.78287300000005,0.0
WHWy3OQxpYdblb4z,1200.937942,0.0,1981.157622,0.0,0.833333,0.0,0.0,0.0,0.0,0.5,4,0,2000.0,6,152.10636100000002,200.10626100000002,0.0
DHLICFofF4NbkTI1,251.273637,1861.74,0.0,1861.74,0.272727,0.0,0.25,0.25,0.0,0.0,0,31,3000.0,12,195.73661,273.11936299999996,0.0
pu5OvXyrkvF8WEX4,4202.1695,462.0,4776.10477,462.0,1.0,0.0,0.166667,0.166667,0.0,0.416667,10,2,8000.0,12,1010.799168,1541.756326,0.0
5cNICvDuU70oSxHV,486.661842,1898.88,0.0,939.09,0.833333,959.79,0.833333,0.666667,0.666667,0.0,0,24,1200.0,6,669.0396400000001,336.880119,0.5
FACjJK6oE84bwwvl,1647.932117,0.0,93.690441,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,4,0,1800.0,12,390.2023,717.310059,0.0
Hik1ahI9PjnV7wHy,463.07144000000005,1817.84,0.0,1817.84,1.0,0.0,0.333333,0.333333,0.0,0.0,0,4,6000.0,12,0.0,,0.0
ARqrqXYtVOsCKAqA,293.118363,368.91,683.536421,0.0,1.0,368.91,0.75,0.0,0.75,0.166667,3,18,1800.0,12,1309.489418,195.953485,0.166667
Tpugf58tjiahDh1d,1191.6629070000001,979.92,0.0,849.92,1.0,130.0,0.75,0.416667,0.416667,0.0,0,18,4350.0,12,278.328435,470.064242,0.0
xErcXVe5RtT8Z558,28.329891999999997,292.59,0.0,292.59,1.0,0.0,1.0,1.0,0.0,0.0,0,12,5000.0,12,0.0,,0.0
